\g(d)\-(21) \g(r)\-(11) \g(r)\-(22) \g(r)\-(33) \g(r)\-(44) Re\g(s)\-(12) Im\g(s)\-(12) Re\g(s)\-(13) Im\g(s)\-(13) Re\g(s)\-(14) Im\g(s)\-(14) Re\g(s)\-(23) Im\g(s)\-(23) Re\g(s)\-(24) Im\g(s)\-(24) Re\g(s)\-(34) Im\g(s)\-(34) I14
MHz 
delta21 rho11 rho22 rho33 rho44 Re_rho12 Im_rho12 Re_rho13 Im_rho13 Re_rho14 Im_rho14 Re_rho23 Im_rho23 Re_rho24 Im_rho24 Re_rho34 Im_rho34, I14
-55.400000 0.52051 0.005093 0.47195 0.00244694 -0.0371057 -0.00194607 0.00011643 0.00157747 2.46052e-06 8.0464e-05 -0.0336201 0.00177924 -9.03065e-05 -0.000129649 -0.0337912 -0.00185129 6.48051e-09
-55.200000 0.520632 0.00513899 0.471765 0.00246385 -0.0373473 -0.00202658 -0.00124625 0.000589804 -0.000101888 2.14638e-05 -0.0336894 0.00181137 -3.17789e-05 -0.000220222 -0.0339021 -0.00185684 1.08418e-08
-55.000000 0.520764 0.00517318 0.471582 0.00248128 -0.0374586 -0.00216016 -0.000734921 -0.00102543 -7.88683e-05 -9.7752e-05 -0.0338036 0.00186206 7.23932e-05 -0.000194044 -0.0340176 -0.00187061 1.57757e-08
-54.800000 0.520904 0.00519832 0.471399 0.00249848 -0.0374786 -0.00218434 0.000971701 -0.00105238 4.2701e-05 -0.00011405 -0.0339514 0.00187653 7.9376e-05 -8.68285e-05 -0.0341274 -0.00189071 1.48308e-08
-54.600000 0.52104 0.00523052 0.471214 0.00251529 -0.0375749 -0.00208476 0.0015434 0.000566782 9.7252e-05 -2.78588e-06 -0.0340772 0.00184891 -2.23059e-05 -4.67825e-05 -0.0342301 -0.00190667 9.46572e-09
-54.400000 0.521166 0.00527734 0.471024 0.00253239 -0.0378147 -0.00201792 0.000183146 0.00162724 8.04684e-06 8.53549e-05 -0.0341567 0.0018321 -9.44519e-05 -0.000132324 -0.0343352 -0.00191394 7.35021e-09
-54.200000 0.521293 0.00532694 0.47083 0.00255033 -0.0380703 -0.00209875 -0.00125917 0.000666476 -0.000105316 2.85366e-05 -0.0342305 0.00186649 -3.69874e-05 -0.00022983 -0.0344502 -0.00192048 1.19058e-08
-54.000000 0.52143 0.00536387 0.470637 0.00256874 -0.0381911 -0.00224125 -0.000798965 -0.00101637 -8.79115e-05 -9.7916e-05 -0.0343483 0.00192414 7.32731e-05 -0.000207115 -0.0345698 -0.00193605 1.7316e-08
-53.800000 0.521577 0.00539021 0.470446 0.0025868 -0.038211 -0.00227319 0.000956427 -0.00111406 3.78581e-05 -0.000121708 -0.0345003 0.00194562 8.52185e-05 -9.53907e-05 -0.0346828 -0.00195859 1.62461e-08
-53.600000 0.521719 0.00542307 0.470253 0.00260432 -0.0383048 -0.00217181 0.00161214 0.000529045 0.000100052 -9.1634e-06 -0.0346286 0.00192063 -1.954e-05 -4.9304e-05 -0.0347873 -0.0019765 1.00944e-08
-53.400000 0.521852 0.00547137 0.470054 0.00262208 -0.0385502 -0.00209789 0.000256461 0.0016777 1.15361e-05 8.59621e-05 -0.0347068 0.00190234 -9.87515e-05 -0.000135958 -0.0348938 -0.00198419 7.52257e-09
-53.200000 0.521984 0.00552335 0.469852 0.00264077 -0.0388187 -0.00217739 -0.00126864 0.000749654 -0.000108304 3.11519e-05 -0.0347771 0.00193471 -4.26232e-05 -0.000240634 -0.0350111 -0.00198986 1.27003e-08
-53.000000 0.522128 0.00556246 0.46965 0.00266013 -0.0389492 -0.00232709 -0.000866403 -0.00100217 -9.43713e-05 -0.000101574 -0.0348946 0.00199152 7.41264e-05 -0.000221466 -0.0351344 -0.0020045 1.92232e-08
-52.800000 0.522281 0.00559029 0.46945 0.00267924 -0.0389697 -0.00236536 0.000936393 -0.00117789 3.71689e-05 -0.000130941 -0.0350522 0.00201148 9.17132e-05 -0.000104565 -0.0352518 -0.00202695 1.8527e-08
-52.600000 0.522431 0.00562493 0.469247 0.00269786 -0.0390623 -0.00226091 0.00168219 0.000485264 0.000107407 -1.42909e-05 -0.0351895 0.00198279 -1.60502e-05 -5.13209e-05 -0.0353606 -0.00204541 1.17406e-08
-52.400000 0.522569 0.00567643 0.469037 0.00271675 -0.0393154 -0.00217905 0.000336438 0.00172662 1.79814e-05 9.06867e-05 -0.0352753 0.00196119 -0.00010305 -0.000138571 -0.0354712 -0.00205375 8.54741e-09
-52.200000 0.522707 0.00573257 0.468824 0.00273661 -0.0395996 -0.00225779 -0.00127412 0.000838013 -0.000111771 3.90945e-05 -0.0353503 0.00199515 -4.89543e-05 -0.00025106 -0.035593 -0.00206029 1.40212e-08
-52.000000 0.522856 0.00577503 0.468612 0.00275711 -0.0397418 -0.0024171 -0.000936915 -0.000982933 -0.000104828 -0.000101466 -0.0354719 0.00205908 7.44046e-05 -0.000236604 -0.035721 -0.00207672 2.12843e-08
-51.800000 0.523017 0.00580441 0.468402 0.00277724 -0.0397628 -0.00246486 0.000911629 -0.00124329 3.10119e-05 -0.000139954 -0.0356343 0.00208687 9.83045e-05 -0.000115139 -0.0358421 -0.00210184 2.05488e-08
-51.600000 0.523174 0.00583984 0.468189 0.00279671 -0.0398523 -0.00235931 0.00175389 0.000436385 0.000110529 -2.2556e-05 -0.0357751 0.00206148 -1.21804e-05 -5.45793e-05 -0.035953 -0.00212264 1.27255e-08
-51.400000 0.52332 0.00589303 0.467971 0.00281636 -0.0401108 -0.00226936 0.000423989 0.0017755 2.29231e-05 9.07592e-05 -0.0358601 0.00203856 -0.000107399 -0.000142221 -0.0360652 -0.00213171 8.76271e-09
-51.200000 0.523463 0.00595197 0.467748 0.00283709 -0.0404095 -0.00234578 -0.00127481 0.000933577 -0.000114149 4.27242e-05 -0.0359314 0.00207053 -5.57481e-05 -0.000262779 -0.0361893 -0.00213748 1.48553e-08
-51.000000 0.523619 0.00599704 0.467525 0.00285865 -0.0405635 -0.00251304 -0.00101074 -0.000957067 -0.000112382 -0.000104338 -0.0360518 0.00213402 7.45785e-05 -0.00025324 -0.0363212 -0.00215297 2.3516e-08
-50.800000 0.523788 0.00602811 0.467304 0.00287998 -0.0405857 -0.00256894 0.000881001 -0.00131034 2.88967e-05 -0.000150009 -0.0362196 0.0021608 0.00010558 -0.000126573 -0.036447 -0.00217806 2.33379e-08
-50.600000 0.523953 0.00606537 0.467081 0.00290068 -0.0406731 -0.00246091 0.00182634 0.000380427 0.000117843 -2.92535e-05 -0.03637 0.00213157 -7.46554e-06 -5.74178e-05 -0.0365625 -0.00219953 1.47426e-08
-50.400000 0.524105 0.00612203 0.466851 0.0029216 -0.040939 -0.00236164 0.000519268 0.00182178 3.039e-05 9.5057e-05 -0.0364632 0.00210443 -0.000111718 -0.000144741 -0.036679 -0.00220927 9.95938e-09
-50.200000 0.524255 0.00618576 0.466616 0.00294366 -0.0412552 -0.00243585 -0.00126991 0.0010348 -0.000117473 5.16218e-05 -0.0365394 0.0021371 -6.33931e-05 -0.000274021 -0.036808 -0.00221578 1.64647e-08
-50.000000 0.524418 0.0062349 0.466381 0.00296656 -0.0414236 -0.0026133 -0.00108737 -0.000924653 -0.000124411 -0.000103756 -0.0366641 0.00220778 7.39822e-05 -0.000270767 -0.036945 -0.00223299 2.62436e-08
-49.800000 0.524594 0.00626798 0.466149 0.0029891 -0.0414475 -0.00268076 0.000844477 -0.00137833 2.10378e-05 -0.000160485 -0.0368375 0.00224328 0.000112936 -0.000139675 -0.0370752 -0.00226096 2.6198e-08
-49.600000 0.524767 0.00630621 0.465916 0.00301082 -0.0415309 -0.00257267 0.0018997 0.000318367 0.000121132 -3.98518e-05 -0.0369926 0.00221817 -2.19649e-06 -6.17198e-05 -0.0371933 -0.00228522 1.62611e-08
-49.400000 0.524928 0.00636479 0.465675 0.00303264 -0.0418017 -0.00246423 0.000623151 0.00186695 3.70494e-05 9.42584e-05 -0.0370857 0.00218986 -0.000115935 -0.000148381 -0.0373115 -0.00229606 1.02573e-08
-49.200000 0.525084 0.00643182 0.465429 0.00305569 -0.0421342 -0.00253477 -0.0012585 0.00114386 -0.000118928 5.63787e-05 -0.0371579 0.00222054 -7.15313e-05 -0.000286639 -0.0374429 -0.00230192 1.73223e-08
-49.000000 0.525254 0.00648413 0.465182 0.0030798 -0.0423171 -0.00272085 -0.00116698 -0.000883767 -0.000133161 -0.000105519 -0.0372805 0.00229122 7.31669e-05 -0.000290033 -0.0375841 -0.00231818 2.8866e-08
-48.800000 0.525438 0.00651918 0.464939 0.0031037 -0.0423431 -0.00279866 0.000800817 -0.00144713 1.70494e-05 -0.000171354 -0.0374589 0.00232641 0.000120983 -0.000153954 -0.0377194 -0.00234622 2.96529e-08
-48.600000 0.525621 0.00655929 0.464693 0.00312682 -0.0424233 -0.00268912 0.00197294 0.000248121 0.000128129 -4.85334e-05 -0.037624 0.00229749 4.05973e-06 -6.5754e-05 -0.0378423 -0.00237134 1.87725e-08
-48.400000 0.525789 0.00662158 0.464439 0.00315007 -0.0427009 -0.0025699 0.000735883 0.00190809 4.57096e-05 9.77473e-05 -0.0377263 0.00226397 -0.000120062 -0.000150797 -0.037965 -0.00238291 1.16439e-08
-48.200000 0.525952 0.00669411 0.464179 0.00317464 -0.0430528 -0.00263633 -0.00123945 0.00125895 -0.000121842 6.62855e-05 -0.0378037 0.00229424 -8.06905e-05 -0.000298656 -0.0381015 -0.00238938 1.92391e-08
-48.000000 0.526129 0.0067514 0.463919 0.00320031 -0.0432533 -0.00283299 -0.00124879 -0.000834462 -0.000146901 -0.000104189 -0.0379306 0.00237202 7.13324e-05 -0.000310304 -0.0382485 -0.00240722 3.24352e-08
-47.800000 0.526322 0.00678906 0.463663 0.00322566 -0.0432825 -0.0029248 0.000749923 -0.00151585 7.00118e-06 -0.000183356 -0.0381154 0.0024169 0.000129067 -0.000170233 -0.0383888 -0.00243832 3.36684e-08
-47.600000 0.526514 0.00683035 0.463405 0.00325 -0.0433579 -0.0028167 0.00204599 0.0001707 0.000131319 -6.19973e-05 -0.0382866 0.00239306 1.10842e-05 -7.15376e-05 -0.0385149 -0.00246671 2.10883e-08
-47.400000 0.526691 0.00689482 0.46314 0.00327431 -0.0436397 -0.00268718 0.000858248 0.00194663 5.43623e-05 9.55985e-05 -0.0383898 0.00235861 -0.000123871 -0.000154424 -0.0386394 -0.00247985 1.20943e-08
-47.200000 0.526862 0.00697125 0.462867 0.00330003 -0.0440097 -0.00274815 -0.00121169 0.00138233 -0.000121956 7.22409e-05 -0.0384629 0.00238679 -9.03604e-05 -0.000312107 -0.0387785 -0.00248583 2.00919e-08
-47.000000 0.527047 0.00703243 0.462594 0.00332709 -0.044228 -0.00295394 -0.00133283 -0.000774449 -0.00015691 -0.000104433 -0.0385869 0.00246505 6.91154e-05 -0.000332571 -0.0389299 -0.00250273 3.5527e-08
-46.800000 0.527249 0.00707245 0.462324 0.00335401 -0.0442609 -0.00305879 0.000690469 -0.00158403 5.81302e-07 -0.000194964 -0.038776 0.00251054 0.000137809 -0.000188094 -0.0390758 -0.00253402 3.80114e-08
-46.600000 0.527452 0.00711568 0.462053 0.00337994 -0.0443318 -0.00295087 0.00211761 8.39729e-05 0.000137583 -7.31636e-05 -0.0389578 0.00248314 1.92586e-05 -7.73026e-05 -0.0392071 -0.00256356 2.4282e-08
-46.400000 0.527637 0.00718408 0.461773 0.00340588 -0.0446192 -0.00280912 0.000990565 0.00197925 6.43789e-05 9.77284e-05 -0.0390709 0.00244245 -0.000127483 -0.000156761 -0.0393362 -0.00257758 1.36955e-08
-46.200000 0.527815 0.00726681 0.461484 0.00343332 -0.0450105 -0.0028635 -0.00117369 0.00151189 -0.000124078 8.31449e-05 -0.0391496 0.00246882 -0.000101226 -0.000324808 -0.0394806 -0.00258401 2.23085e-08
-46.000000 0.528008 0.00733406 0.461196 0.00346219 -0.0452503 -0.00307993 -0.00141798 -0.000703739 -0.000172444 -0.000101993 -0.0392779 0.00255387 6.55643e-05 -0.000355958 -0.0396383 -0.00260227 4.01396e-08
-45.800000 0.52822 0.00737748 0.460912 0.00349085 -0.0452887 -0.00320161 0.000622305 -0.00165055 -1.22602e-05 -0.000208479 -0.039474 0.0026101 0.000146498 -0.000208363 -0.0397902 -0.00263675 4.36138e-08
-45.600000 0.528433 0.00742219 0.460627 0.00351826 -0.0453539 -0.00309728 0.0021874 -1.09931e-05 0.000140242 -9.01165e-05 -0.0396634 0.00258898 2.84578e-05 -8.51912e-05 -0.0399253 -0.00267008 2.77889e-08
-45.400000 0.528629 0.00749304 0.460333 0.00354547 -0.0456445 -0.00294416 0.00113344 0.00200722 7.52831e-05 9.35548e-05 -0.039779 0.00254762 -0.000130474 -0.000160419 -0.0400566 -0.00268623 1.442e-08
-45.200000 0.528815 0.00758038 0.46003 0.00357426 -0.0460556 -0.0029907 -0.00112418 0.0016499 -0.000122301 9.02844e-05 -0.0398534 0.0025717 -0.000112592 -0.000338962 -0.0402036 -0.00269241 2.31089e-08
-45.000000 0.529016 0.00765247 0.459727 0.00360474 -0.0463173 -0.00321644 -0.00150399 -0.000619659 -0.000183701 -0.000100212 -0.0399775 0.0026577 6.14049e-05 -0.000381603 -0.0403661 -0.00270974 4.37886e-08
-44.800000 0.529238 0.00769881 0.459428 0.00363521 -0.0463616 -0.00335437 0.000544072 -0.00171447 -2.17959e-05 -0.000220647 -0.0401772 0.00271572 0.000155743 -0.000230726 -0.040524 -0.00274456 4.91602e-08
-44.600000 0.529463 0.00774551 0.459127 0.00366446 -0.0464211 -0.00325267 0.0022539 -0.000116279 0.000145153 -0.000104358 -0.0403776 0.00269161 3.89849e-05 -9.34492e-05 -0.0406647 -0.00277944 3.19598e-08
-44.400000 0.529668 0.00782047 0.458818 0.0036935 -0.0467155 -0.00308601 0.00128723 0.00202682 8.67765e-05 9.35453e-05 -0.0405041 0.00264302 -0.000133091 -0.000162782 -0.0408007 -0.00279674 1.62809e-08
-44.200000 0.529863 0.00791498 0.458498 0.00372424 -0.0471496 -0.00312281 -0.00106117 0.00179383 -0.000123106 0.000102052 -0.0405845 0.00266357 -0.000125317 -0.000352189 -0.0409531 -0.00280323 2.55696e-08
-44.000000 0.530072 0.00799449 0.458176 0.00375685 -0.0474374 -0.00335871 -0.00158928 -0.000522169 -0.00020101 -9.6204e-05 -0.0407127 0.00275574 5.55177e-05 -0.000408477 -0.0411225 -0.0028216 4.96603e-08
-43.800000 0.530305 0.00804527 0.45786 0.0037894 -0.0474904 -0.00351669 0.000455601 -0.00177435 -3.81617e-05 -0.000235532 -0.0409199 0.00282559 0.000164775 -0.000255991 -0.0412874 -0.00285965 5.69318e-08
-43.600000 0.530541 0.00809385 0.457544 0.00382046 -0.0475435 -0.00342159 0.00231625 -0.000230714 0.000146613 -0.000125507 -0.0411298 0.00280921 5.08329e-05 -0.000104328 -0.0414328 -0.00289889 3.72473e-08
-43.400000 0.530758 0.00817156 0.457219 0.00385105 -0.0478392 -0.00324268 0.00145223 0.00203908 0.000100122 8.641e-05 -0.0412605 0.00276034 -0.000134669 -0.000166612 -0.0415713 -0.002919 1.74912e-08
-43.200000 0.530962 0.00827151 0.456883 0.00388337 -0.048295 -0.00326859 -0.000983206 0.00194581 -0.000118727 0.000110203 -0.0413369 0.00277825 -0.00013848 -0.000366832 -0.0417264 -0.00292556 2.62407e-08
-43.000000 0.53118 0.00835706 0.456545 0.00391786 -0.0486095 -0.00351343 -0.00167319 -0.000408223 -0.000213372 -9.17907e-05 -0.0414596 0.00287173 4.87199e-05 -0.000437855 -0.041901 -0.00294301 5.39531e-08
-42.800000 0.531424 0.0084116 0.456212 0.00395254 -0.0486718 -0.0036914 0.000355601 -0.00182863 -5.16306e-05 -0.000247922 -0.0416693 0.00294483 0.000174157 -0.000283987 -0.0420726 -0.00298158 6.4131e-08
